"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDART00000021317.10",7681.25149679199,0.272522019298753,0.0789942602144115,3.44989646790862,0.000560801582900332,0.041027397312033
"ENSDART00000012396.9",6004.25119418483,0.318666620201259,0.059926941675087,5.31758523451792,1.051534303651e-07,0.000107295239709905
"ENSDART00000164859.2",130.62204985932,-0.733714165589123,0.184340452482549,-3.98021245856811,6.8853703561045e-05,0.0117093574643682
"ENSDART00000184437.1",4386.08377328089,0.61255721807376,0.109377011071781,5.60042016207371,2.13832875387749e-08,3.18890611934023e-05
"ENSDART00000112689.4",5739.6234822615,0.307787278529955,0.0774740157771027,3.97278075032896,7.10384311210433e-05,0.0118726040012385
"ENSDART00000184398.1",2084.79487506746,0.636621224497794,0.113474500377704,5.61025800844048,2.02025189588976e-08,3.18890611934023e-05
"ENSDART00000192516.1",682.949580247204,0.663610388140114,0.188723232398375,3.51631529254068,0.000437581008247587,0.035495326388686
"ENSDART00000193622.1",8240.07396038805,0.535936003492223,0.147671335304169,3.62924871227256,0.000284247278944871,0.0279731065832701
"ENSDART00000036757.8",568.387682929517,-0.472831497909818,0.135388904053743,-3.49239475136107,0.000478710208583185,0.037672659175678
"ENSDART00000171380.2",566.066705364196,0.431329365239415,0.121579166549726,3.54772431395968,0.000388574713207467,0.0334269454207809
"ENSDART00000193641.1",250.442606554472,0.753417437701534,0.222899418364098,3.38007807840421,0.000724652407359044,0.0469860743192969
"ENSDART00000067734.6",177.90599130392,-0.634129129810675,0.148612457028275,-4.26699849051029,1.9812049951142e-05,0.00519048935679447
"ENSDART00000192521.1",5905.25089843953,0.474057125817953,0.1316552358767,3.6007464698322,0.000317304874102996,0.0297178241267381
"ENSDART00000183408.1",246.123044212353,-11.4008217891325,1.15741868297656,-9.85021406412132,6.83981421555676e-23,1.32603478196999e-18
"ENSDART00000020463.8",2272.40394782722,0.4836105963129,0.104220735912073,4.64025313274417,3.47982657359355e-06,0.00156891622749438
"ENSDART00000185807.1",132.000305154365,-0.956335896353723,0.280545118001034,-3.40884882676946,0.000652376205032181,0.0445338643907003
"ENSDART00000084691.6",81.2573054403501,-4.78183885340498,1.19434992084685,-4.00371680856683,6.23550020383017e-05,0.0111933002270051
"ENSDART00000189890.1",102.220432429946,1.3035545126821,0.357100203407461,3.65038860309667,0.000261843853544233,0.0274398204792543
"ENSDART00000025183.10",1720.46262790949,0.539232518301155,0.1186486302508,4.54478502753319,5.49913484526514e-06,0.00209042602441481
"ENSDART00000166186.3",535.630068402721,0.527369302882362,0.112516079963023,4.6870572015633,2.77161519821608e-06,0.00141403431178461
"ENSDART00000182777.1",1246.47563926273,-1.11847721899475,0.317509911441052,-3.52265292733201,0.000427250469657208,0.0349930238767957
"ENSDART00000171389.2",2221.66245815024,0.341027352479672,0.0826455999781761,4.12638243983619,3.68514248455798e-05,0.00841251295110288
"ENSDART00000074630.5",1740.26945836704,0.394417120405585,0.0715912747230155,5.50929036997277,3.60283169262674e-08,4.65653986833031e-05
"ENSDART00000140264.2",709.305191568473,0.483876339384754,0.142298601893898,3.40042932920413,0.000672801247892696,0.0452902701142212
"ENSDART00000164102.2",92124.8571597909,0.16561448100898,0.045258806561168,3.65927636172088,0.000252928461226238,0.0269809899835344
"ENSDART00000187198.1",241.295011851031,-5.5554889979179,1.44570107825709,-3.84276464994789,0.000121656117326591,0.0166094869479621
"ENSDART00000065256.4",7877.00346232053,0.350571130060455,0.0947163089917089,3.70127524807943,0.000214518618751716,0.0244639556572913
"ENSDART00000167588.2",942.079963275033,0.362286575185038,0.0926783506444526,3.90907447819069,9.26503989371164e-05,0.0142556609856657
"ENSDART00000185025.1",212.801459241004,0.669844176633871,0.198743897283303,3.37038865489807,0.000750622338379015,0.0480274431490229
"ENSDART00000186896.1",1897.25035982274,0.282751195044932,0.0831855835633342,3.39904083055036,0.00067622620355396,0.04536331283149
"ENSDART00000024224.4",6199.72200110972,0.330252744296754,0.068153021975768,4.84575349298783,1.26132048080832e-06,0.000719212357689145
"ENSDART00000175980.2",156.638634748524,-0.834693018522857,0.246646618359476,-3.38416567019918,0.000713949097773001,0.0465200318161751
"ENSDART00000186423.1",301.995911282572,4.42829168101414,1.28733178700606,3.4398992751612,0.000581930716689977,0.0418948496863862
"ENSDART00000139890.3",842.882804778797,0.298045756489296,0.0855296336348753,3.48470750806262,0.000492675278102116,0.0378242263661277
"ENSDART00000183804.1",869.822547479863,0.340284532144931,0.0866270629304487,3.92815502030975,8.56000297625607e-05,0.0137086980893923
"ENSDART00000017176.10",18969.2516558562,0.224823127408916,0.0568834080582965,3.95234981663735,7.73874983539547e-05,0.0127145036490519
"ENSDART00000170767.2",9079.44547633819,0.366981127297553,0.0987467293792039,3.71638766777059,0.000202091428757942,0.0234758020197528
"ENSDART00000174463.2",661.084346704548,0.736005875460062,0.215112497748798,3.42149286146799,0.000622783598573459,0.0429831758548869
"ENSDART00000160585.2",105889.487682507,0.334408674973761,0.0895028681927222,3.7362900399314,0.000186755246603758,0.0224883476143295
"ENSDART00000015401.7",6015.90846171888,0.208256334564531,0.0564613262660733,3.68847755334556,0.00022559992439558,0.025273724692265
"ENSDART00000123980.3",830.925845308307,-0.500630982941183,0.147952106365179,-3.38373677293593,0.000715065223150574,0.0465200318161751
"ENSDART00000112389.3",11052.4439337441,0.216031842742501,0.0624134090731179,3.46130496556305,0.000537563473227178,0.0402383901755031
"ENSDART00000145115.4",92.1917686945523,-0.66228677676966,0.180071516682145,-3.67790969372852,0.000235153180480177,0.0256118803930853
